amakuru	 a m a k u r u
ku	 k u
bumenyi	 b u m e n y i
bw’imikorere	 b w ’ i m i k o r e r e
y’imyakura	 y ’ i m y a k u r a
ashyira	 a s h y i r a
ahabona	 a h a b o n a
imyumvire	 i m y u m v i r e
bushakashatsi	 b u s h a k a s h a t s i
bw’ubumenyi	 b w ’ u b u m e n y i
ni	 n i
yo	 y o
mpamvu	 m p a m v u
agabanya	 a g a b a n y a
ahakorerwa	 a h a k o r e r w a
ubushakashatsi	 u b u s h a k a s h a t s i
akarushaho	 a k a r u s h a h o
kubigira	 k u b i g i r a
impamo	 i m p a m o
bizwi	 b i z w i
kuva	 k u v a
igihe	 i g i h e
kirekire	 k i r e k i r e
ko	 k o
ubwoko	 u b w o k o
bwinshi	 b w i n s h i
bw’iyangirikaihungabanaibikomeren’ibibyimba	 b w ’ i y a n g i r i k a i h u n g a b a n a i b i k o m e r e n ’ i b i b y i m b a
bwonko	 b w o n k o
bugira	 b u g i r a
ingaruka	 i n g a r u k a
myitwarire	 m y i t w a r i r e
kandi	 k a n d i
butera	 b u t e r a
impinduka	 i m p i n d u k a
mu	 m u
mikorere	 m i k o r e r e
imwe	 i m w e
y’ubwonko	 y ’ u b w o n k o
iterambere	 i t e r a m b e r e
ry’ikoranabuhanga	 r y ’ i k o r a n a b u h a n g a
rishya	 r i s h y a
ridufasha	 r i d u f a s h a
kubona	 k u b o n a
no	 n o
gusesengura	 g u s e s e n g u r a
imiterere	 i m i t e r e r e
n’imikorere	 n ’ i m i k o r e r e
itarigeze	 i t a r i g e z e
iboneka	 i b o n e k a
mbere	 m b e r e
ibi	 i b i
biduha	 b i d u h a
n’ibikoresho	 n ’ i b i k o r e s h o
byinshi	 b y i n s h i
byo	 b y o
gukora	 g u k o r a
ibyitegererezo	 i b y i t e g e r e r e z o
bidufasha	 b i d u f a s h a
gusobanukirwa	 g u s o b a n u k i r w a
gahunda	 g a h u n d a
zo	 z o
bwacu	 b w a c u
ingero	i n g e r o
zikubiyemo	 z i k u b i y e m o
gucungaigenamigambi	 g u c u n g a i g e n a m i g a m b i
gushyira	 g u s h y i r a
ibintu	 i b i n t u
murongoubushobozi	 m u r o n g o u b u s h o b o z i
bwo	 b w o
gusubiza	 g u s u b i z a
amasuzuma	 a m a s u z u m a
n’ibibazo	 n ’ i b i b a z o
by’abakiliyakimwe	 b y ’ a b a k i l i y a k i m w e
kumenya	 k u m e n y a
umukonoijwi	 u m u k o n o i j w i
n’isura	 n ’ i s u r a
sisitemu	 s i s i t e m u
y’ubwenge	 y ’ u b w e n g e
buhimbano	 b u h i m b a n o
ubu	 u b u
ikoreshwa	 i k o r e s h w a
akenshi	 a k e n s h i
nzego	 n z e g o
z’ubukunguubuvuziubuhanga	 z ’ u b u k u n g u u b u v u z i u b u h a n g a
bwa	 b w a
enjenyeri	 e n j e n y e r i
gisirikarink’uko	 g i s i r i k a r i n k ’ u k o
byubatswe	 b y u b a t s w e
muri	 m u r i
za	 z a
mudasobwa	 m u d a s o b w a
nyinshi	 n y i n s h i
ngo	 n g o
porogaramu	 p o r o g a r a m u
z’imikino	 z ’ i m i k i n o
y’amashusho	 y ’ a m a s h u s h o
majyepfo	 m a j y e p f o
ya	 y a
kure	 k u r e
hari	h a r i
amasumo	 a m a s u m o
niagara	 n i a g a r a
naho	 n a h o
amajyaruguru	 a m a j y a r u g u r u
akaba	 a k a b a
igicumbi	 i g i c u m b i
cy’ubwiza	 c y ’ u b w i z a
nyaburanga	 n y a b u r a n g a
butagereranywa	 b u t a g e r e r a n y w a
muskoka	 m u s k o k a
gukomeza	 g u k o m e z a
bintu	 b i n t u
byose	 b y o s e
hamwe	 h a m w e
n’ibindi	 n ’ i b i n d i
bigaragaza	 b i g a r a g a z a
ontario	 o n t a r i o
nk’igifatwa	 n k ’ i g i f a t w a
nk’inyakanada	 n k ’ i n y a k a n a d a
n’abantu	 n ’ a b a n t u
bo	 b o
hanze	 h a n z e
ibikorwa	 i b i k o r w a
by’abanyaburayi	 b y ’ a b a n y a b u r a y i
n’ubukoloni	 n ’ u b u k o l o n i
byatangiye	 b y a t a n g i y e
kinyejana	 k i n y e j a n a
cya	 c y a
1ubwo	 1  u b w o
umushakashatsi	 u m u s h a k a s h a t s i
w’umuyaporutugali	 w ’ u m u y a p o r u t u g a l i
witwa	 w i t w a
vascoda	 v a s c o d a
gama	 g a m a
yabonye	 y a b o n y e
inzira	 i n z i r a
cape	 c a p e
iva	 i v a
burayi	 b u r a y i
ijya	 i j y a
buhinde	 b u h i n d e
birafasha	b i r a f a s h a
kwambara	 k w a m b a r a
impeta	 i m p e t a
idahenze	 i d a h e n z e
cyane	 c y a n e
umujyi	 u m u j y i
ugezweho	 u g e z w e h o
wa	 w a
casablanca	c a s a b l a n c a
washinzwe	 w a s h i n z w e
n’abarobyi	 n ’ a b a r o b y i
b’ababeruberi	 b ’ a b a b e r u b e r i
1	 1
y’ivuka	 y ’ i v u k a
rya	 r y a
kirisitukandi	 k i r i s i t u k a n d i
wakoreshwaga	 w a k o r e s h w a g a
n’abafenisiyeabaromanin’abamerenide	 n ’ a b a f e n i s i y e a b a r o m a n i n ’ a b a m e r e n i d e
nk’icyambu	 n k ’ i c y a m b u
gikomeye	 g i k o m e y e
cyitwaga	 c y i t w a g a
anfa	 a n f a
hafi	 h a f i
medina	 m e d i n a
kera	 k e r a
biroroshye	 b i r o r o s h y e
ahantu	 a h a n t u
bagurisha	 b a g u r i s h a
ibicuruzwa	 i b i c u r u z w a
gakondo	 g a k o n d o
maroketajineububumbyiibicuruzwa	 m a r o k e t a j i n e u b u b u m b y i i b i c u r u z w a
bikozwe	 b i k o z w e
ruhuhukan’umubare	 r u h u  h u k a n ’ u m u b a r e
mwinshi	 m w i n s h i
jigoziariko	 j i g o z i a r i k o
ibyo	 i b y o
birahagije	 b i r a h a g i j e
kuri	 k u r i
ba	 b a
mukerarugendo	 m u k e r a r u g e n d o
goma	 g o m a
w’ubukerarugendo	 w ’ u b u k e r a r u g e n d o
wo	 w o
repubulika	 r e p u b u l i k a
iharanira	 i h a r a n i r a
demokarasi	 d e m o k a r a s i
kongo	 k o n g o
uhereye	 u h e r e y e
burasirazuba	 b u r a s i r a z u b a
ukaba	 u k a b a
uri	 u r i
y’u	 y ’ u
rwanda	 r w a n d a
hantu	 h a n t u
hakomeye	 h a k o m e y e
bahagararaga	 b a h a g a r a r a g a
pbs	 p b s
ibitangaza	 i b i t a n g a z a
bidasanzwe	 b i d a s a n z w e
by’afurika	 b y ’ a f u r i k a
henry	 h e n r y
louisgates	 l o u i s g a t e s
igice	 i g i c e
kinini	 k i n i n i
cy’iterambere	 c y ’ i t e r a m b e r e
ry’umujyi	 r y ’ u m u j y i
ry’ikirwa	 r y ’ i k i r w a
hongkong	 h o n g k o n g
gicucitse	 g i c u c i t s e
butaka	 b u t a k a
bwatunganyijwe	 b w a t u n g a n y i j w e
nkengero	 n k e n g e r o
y’amajyaruguru	 y ’ a m a j y a r u g u r u
sundarbans	s u n d a r b a n s
iri	 i r i
buso	 b u s o
kirometero	 k i r o m e t e r o
kare	 k a r e
3muri	 3     m u r i
izigera	 i z i g e r a
kimwe	 k i m w e
gatatu	 g a t a t u
zigizwe	 z i g i z w e
n’ahantu	 n ’ a h a n t u
h’amaziibishanga	 h ’ a m a z i  i b i s h a n g a
kubera	k u b e r a
amabisi	a m a b i s i
mpuzaturere	 m p u z a t u r e r e
aba	 a b a
yuzuyeni	 y u z u y e n i
byiza	 b y i z a
kugura	 k u g u r a
itike	 i t i k e
iminsi	 i m i n s i
mikeya	 m i k e y a
amatagisi	 a m a t a g i s i
asangiwe	 a s a n g i w e
uburyo	 u b u r y o
bwihuta	 b w i h u t a
bwiza	 b w i z a
gutembereramo	 g u t e m b e r e r a m o
ujya	 u j y a
hafinka	 h a f i n k a
paro	 p a r o
nu	  n u
na	 n a
punakha	 p u n a k h a

guaraní	 g u a r a n í
ryari	 r y a r i
itsinda	 i t s i n d a
ry’abasangwabutaka	 r y ’ a b a s a n g w a b u t a k a
bakomeye	 b a k o m e y e
bari	 b a r i
batuye	 b a t u y e
paraguay	 p a r a g u a y
y’ububabagaho	 y ’ u b u b a b a g a h o
nk’abahigi	 n k ’ a b a h i g i
bahoraga	 b a h o r a g a
bimuka	 b i m u k a
bakanakora	 b a k a n a k o r a
ubuhinzi	 u b u h i n z i
bw’ibanze	 b w ’ i b a n z e
agace	 a g a c e
ka	 k a
chaco	 c h a c o
kari	 k a r i
iwabo	 i w a b o
w’andi	 w ’ a n d i
matsinda	 m a t s i n d a
kavukire	 k a v u k i r e
y’abasangwabutaka	 y ’ a b a s a n g w a b u t a k a
nk’aba	 n k ’ a b a
guaycurú	 g u a y c u r ú
n’aba	 n ’ a b a
payaguábatungwaga	 p a y a g u á b a t u n g w a g a
n’ubuhigiibyimejeje	 n ’ u b u h i g i i b y i m e j e j e
n’uburobyi	 n ’ u b u r o b y i
16	 1   6
paraguayyahoze	 p a r a g u a y y a h o z e
yitwa	 y i t w a
intara	 i n t a r a
ngari	 n g a r i
y’abahindeyavutse	 y ’ a b a h i n d e  y a v u t s e
nk’umusaruro	 n k ’ u m u s a r u r o
wavuye	 w a v u y e
guhura	 g u h u r a
kwabatsinze	 k w  a b a t s i n z e
esipanye	 e s i p a n y e
namatsinda	 n  a m a t s i n d a
amarushanwa	 a m a r u s h a n w a
mato	 m a t o
n’imikino	 n ’ i m i k i n o
bishobora	 b i s h o b o r a
kuhaboneka	 k u h a b o n e k a
bindi	 b i n d i
bihe	 b i h e
by’umwaka	 b y ’ u m w a k a
ibyerekeye	 i b y e r e k e y e
marushanwa	 m a r u s h a n w a
n’aho	 n ’ a h o
wakura	 w a k u r a
amatike	 a m a t i k e
mikino	 m i k i n o
polowareba	 p o l o w a r e b a
ishyirahamwe	 i s h y i r a h a m w e
arijantine	a r i j a n t i n e
polo	 p o l o
amapawundi	 a m a p a w u n d i
bwongereza	 b w o n g e r e z a
rusange	 r u s a n g e
azemerwa	 a z e m e r w a
aho	 a h o
ari	 a r i
ho	 h o
hose	 h o s e
birwa	 b i r w a
stanleyamakarita	 s t a n l e y a m a k a r i t a
kwishyurirahoamayero	 k w i s h y u r i r a h o a m a y e r o
n’amadolari	 n ’ a m a d o l a r i
leta	 l e t a
zunze	 z u n z e
ubumwe	 u b u m w e
amerika	 a m e r i k a
aremerwa	 a r e m e r w a
nk’aho	 n k ’ a h o
bidashoboka	 b i d a s h o b o k a
kuvunjisha	 k u v u n j i s h a
amafaranga	a m a f a r a n g a
falklands	 f a l k l a n d s
y’ibi	 y ’ i b i
birwarero	 b i r w a r e r o
vunjisha	 v u n j i s h a
montevideo	m o n t e v i d e o
ahegereye	 a h e g e r e y e
uduce	 u d u c e
dushyuha	 d u s h y u h a
mezi	 m e z i
y’impeshyiubushyuhe	 y ’ i m p e s h y i u b u s h y u h e
buri	 b u r i
hejuru	 h e j u r u
dogere	 d o g e r e
3°	  3  °
c	 c
buba	 b u b a
nubwo	 n u b w o
inyinshi	i n y i n s h i
nyamaswa	 n y a m a s w a
pariki	 p a r i k i
zimenyereye	 z i m e n y e r e y e
abantuinyamaswa	 a b a n t u i n y a m a s w a
gasozi	 g a s o z i
inyamaswa	 i n y a m a s w a
zidasanzwe	 z i d a s a n z w e
ntizigomba	 n t i z i g o m b a
kugaburirwa	 k u g a b u r i r w a
cyangwa	 c y a n g w a
guhungabanywa	 g u h u n g a b a n y w a
mboni	 m b o n i
z’abayobozi	 z ’ a b a y o b o z i
parikiguma	 p a r i k i g u m a
nibura	 n i b u r a
ntambwemetero	 n t a m b w e  m e t e r o
y’idubu	 y ’ i d u b u
n’ibirura	 n ’ i b i r u r a
n’intambwemetero	 n ’ i n t a m b w e  m e t e r o
y’izindi	 y ’ i z i n d i
zose	 z o s e
uko	u k o
kose	 k o s e
zaba	 z a b a
zigaragara	 z i g a r a g a r a
nk’izitondaimbogoimpongoinsamagweidubun’izindi	 n k ’ i z i t o n d a i m b o g o i m p o n g o i n s a m a g w e i d u b u n ’ i z i n d i
zijya	 z i j y a
kuba	 k u b a
nini	 n i n i
zishobora	z i s h o b o r a
gushotorana	 g u s h o t o r a n a
mwakaabashyitsi	 m w a k a a b a s h y i t s i
benshi	 b e n s h i
barakomereka	 b a r a k o m e r e k a
batasize	 b a t a s i z e
intera	 i n t e r a
ikwiriye	 i k w i r i y e
izi	i z i
niniinyamahanekandi	 n i n i i n y a m a h a n e k a n d i
ingome	 i n g o m e
cyanerero	 c y a n e r e r o
zihe	 z i h e
umwanya	u m w a n y a
wazo	 w a z o
ikiyongeyehomenya	i k i y o n g e y e h o m e n y a
umunuko	 u m u n u k o
ukurura	 u k u r u r a
idubu	 i d u b u
n’izindi	 n ’ i z i n d i
z’agasozirero	 z ’ a g a s o z i r e r o
irinde	 i r i n d e
gutwarayo	 g u t w a r a y o
guteka	 g u t e k a
kurya	 k u r y a
bihumura	 b i h u m u r a
unakore	 u n a k o r e
isuku	 i s u k u
ukambitse	 u k a m b i t s e
apia	a p i a
yashinzwe	 y a s h i n z w e
myaka	 m y a k a
igirwa	 i g i r w a
umurwa	u m u r w a
mukuru	 m u k u r u
wemewe	 w e m e w e
samowa	 s a m o w a
ubwato	 u b w a t o
bwose	 b w o s e
bwararohamyeuretse	 b w a r a r o h a m y e u r e t s e
bw’intambara	 b w ’ i n t a m b a r a
bw’ubwongereza	 b w ’ u b w o n g e r e z a
abanyamerika	 a b a n y a m e r i k a
n’abadage	 n ’ a b a d a g e
bahasize	 b a h a s i z e
ubuzima	 u b u z i m a
imyaro	 i m y a r o
tamaki	 t a m a k i
drive	 d r i v e
cyambu	 c y a m b u
waitematamu	 w a i t e m a t a m u
zumujyi	 z  u m u j y i
wikigobe	 w  i k i g o b e
mission	 m i s s i o n
bay	 b a y
nahitiriwe	 n  a h i t i r i w e
mutagatifu	 m u t a g a t i f u
heliers	 h e l i e r s
auckland	 a u c k l a n d
hagati	 h a g a t i
izindi	 i z i n d i
divayi	 d i v a y i
z’abafaransa	 z ’ a b a f a r a n s a
zigomba	 z i g o m b a
kuhabaariko	 k u h a b a a r i k o
new	 n e w
zealand	 z e a l a n d
ositaralia	 o s i t a r a l i a
zibasha	 z i b a s h a
kugendanwa	 k u g e n d a n w a
neza	 n e z a
amazi	 a m a z i
robine	 r o b i n e
y’imbere	 y ’ i m b e r e
gihugu	 g i h u g u
meza	 m e z a
kunyobwaariko	 k u n y o b w a a r i k o
icupa	 i c u p a
kuyabona	 k u y a b o n a
niba	n i b a
ugira	 u g i r a
ubwoba	 u b w o b a
ingendo	 i n g e n d o
mucanga	 m u c a n g a
umwaka	 u m w a k a
wosekandi	 w o s e k a n d i
imvune	 i m v u n e
zitewe	 z i t e w e
n’impamvu	 n ’ i m p a m v u
iyo	i y o
yose	 y o s e
nkeya	 n k e y a
amafi	 a m a f i
bwoko	 b w o k o
jellyfish	 j e l l y f i s h
aboneka	 a b o n e k a
iruhande	 i r u h a n d e
rw’umucanga	 r w ’ u m u c a n g a
n’iruhande	 n ’ i r u h a n d e
rw’inkombe	 r w ’ i n k o m b e
z’umugezi	 z ’ u m u g e z i
ukwakira	 u k w a k i r a
kugeza	 k u g e z a
mata	 m a t a
ashobora	 a s h o b o r a
rimwe	 r i m w e
kuboneka	 k u b o n e k a
ibifi	 i b i f i
binini	 b i n i n i
birahari	 b i r a h a r i
cyaneicyakora	 c y a n e i c y a k o r a
gake	 g a k e
bisagarira	 b i s a g a r i r a
abantu	 a b a n t u
bitinya	 b i t i n y a
byoga	 b y o g a
bihunga	 b i h u n g a
kubikisha	 k u b i k i s h a
biha	 b i h a
abagenzi	a b a g e n z i
amahoro	 a m a h o r o
